"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
3.001281667E0,-2.304885864E0,2.418257523E1,-3.576561737E1,4.323527298E1
3.011251667E0,-2.321365356E0,2.436044312E1,-3.604076004E1,4.356324495E1
3.021221667E0,-2.323959351E0,2.419060707E1,-3.577680969E1,4.325004473E1
3.031191667E0,-2.385543823E0,2.419505882E1,-3.581764603E1,4.328966918E1
3.041161667E0,-2.348434448E0,2.440275955E1,-3.602654266E1,4.357661752E1
3.051132666E0,-2.364974976E0,2.440773964E1,-3.601943207E1,4.357442309E1
3.061102666E0,-2.238998413E0,2.431927490E1,-3.585315323E1,4.338074276E1
3.071072666E0,-2.323745728E0,2.436673164E1,-3.612180328E1,4.363395556E1
3.081042666E0,-2.396934509E0,2.436113548E1,-3.585977936E1,4.341812977E1
3.091012666E0,-2.359489441E0,2.440085983E1,-3.555459595E1,4.318678552E1
3.100982666E0,-2.319580078E0,2.430359650E1,-3.569789124E1,4.324794438E1
3.110953667E0,-2.335502625E0,2.435159492E1,-3.591853333E1,4.345797722E1
3.120923667E0,-2.264923096E0,2.437797165E1,-3.597658539E1,4.351700903E1
3.130893666E0,-2.350059509E0,2.436232567E1,-3.597562027E1,4.351196325E1
3.140863666E0,-2.318153381E0,2.444774437E1,-3.589132690E1,4.348854317E1
3.150833666E0,-2.542381287E0,2.442084885E1,-3.590080261E1,4.349378334E1
3.160803666E0,-2.596031189E0,2.446428108E1,-3.608421326E1,4.367277039E1
3.170774667E0,-2.417594910E0,2.443225861E1,-3.593005753E1,4.351722716E1
3.180744667E0,-2.430488586E0,2.441789246E1,-3.579478455E1,4.339824129E1
3.190714667E0,-2.477676392E0,2.438784599E1,-3.586097717E1,4.343864174E1
3.200684667E0,-2.489196777E0,2.425107574E1,-3.563556290E1,4.317643012E1
3.210654667E0,-2.380882263E0,2.425823593E1,-3.574594116E1,4.326549341E1
3.220624667E0,-2.269691467E0,2.430974579E1,-3.591680908E1,4.342962600E1
3.230594667E0,-2.426620483E0,2.430342484E1,-3.602227783E1,4.352182724E1
3.240565666E0,-2.372604370E0,2.426206779E1,-3.594777679E1,4.343408617E1
